category,period,n,BC,dip,dip_p
content-writing/creative-writing,2021-01-01,24,0.7028440916898876,0.08333333333333333,0.17714770423529458
content-writing/creative-writing,2021-04-01,24,0.7262750872886841,0.08333333333333333,0.17714770423529458
content-writing/creative-writing,2021-07-01,24,0.721730883963371,0.08333333333333333,0.17714770423529458
content-writing/creative-writing,2021-10-01,24,0.49777736201285416,0.0625,0.6501163654749464
content-writing/creative-writing,2022-01-01,16,0.47033463654044183,0.09374999999999999,0.25023345179021916
content-writing/creative-writing,2022-04-01,28,0.6037730907905534,0.08163265306122448,0.12931269350369
content-writing/creative-writing,2022-07-01,28,0.717704688311447,0.07142857142857142,0.2918008608263972
content-writing/creative-writing,2023-01-01,24,0.7323158154405333,0.10416666666666667,0.024913078095166963
content-writing/creative-writing,2023-04-01,24,0.7186912430843718,0.10416666666666667,0.024913078095166963
content-writing/creative-writing,2023-07-01,8,,,
content-writing/creative-writing,2023-10-01,16,0.6907228841188736,0.078125,0.5717462641427233
content-writing/creative-writing,2024-01-01,24,0.689436135743714,0.10416666666666667,0.024913078095166963
content-writing/creative-writing,2024-04-01,24,0.7078124721577549,0.08333333333333333,0.17714770423529458
content-writing/creative-writing,2024-07-01,24,0.6616193050296744,0.075,0.32224126041371437
content-writing/creative-writing,2024-10-01,8,,,
data/data-entry,2021-01-01,8,,,
data/data-entry,2021-04-01,24,0.5219047983547699,0.06250000000000001,0.6501163654749461
data/data-entry,2021-07-01,24,0.6418667852535088,0.10416666666666667,0.024913078095166963
data/data-entry,2021-10-01,24,0.859448439957221,0.07500000000000001,0.32224126041371415
data/data-entry,2022-01-01,24,0.628891877892494,0.06666666666666667,0.5286317532812297
data/data-entry,2022-04-01,34,0.5898633636044305,0.10294117647058823,0.0038771888118628306
data/data-entry,2022-07-01,24,0.7378936207262602,0.10416666666666667,0.024913078095166963
data/data-entry,2022-10-01,16,0.658752467950689,0.1875,9.916177226010348e-07
data/data-entry,2023-01-01,24,0.7821845615178197,0.16666666666666666,1.8673130405266747e-06
data/data-entry,2023-04-01,24,0.7600977435548743,0.14583333333333334,4.62539710730514e-05
data/data-entry,2023-07-01,16,0.5878180796828139,0.15625,0.0005414404976324949
data/data-entry,2023-10-01,8,,,
data/data-entry,2024-01-01,24,0.743395156426372,0.020833333333333332,1.0
data/data-entry,2024-04-01,24,0.8795110223707265,0.10416666666666667,0.024913078095166963
data/data-entry,2024-07-01,24,0.1973204914669502,0.08333333333333333,0.17714770423529458
data/data-entry,2024-10-01,8,,,
graphics-design/creative-logo-design,2021-04-01,16,0.5923609677520878,0.0625,0.8995270256391699
graphics-design/creative-logo-design,2021-07-01,8,,,
graphics-design/creative-logo-design,2022-01-01,16,0.4934751096250887,0.0733695652173913,0.6804380767582783
graphics-design/creative-logo-design,2022-04-01,24,0.6748844330309979,0.08333333333333333,0.17714770423529458
graphics-design/creative-logo-design,2022-07-01,28,0.6842323880310911,0.08928571428571429,0.06087631633588286
graphics-design/creative-logo-design,2022-10-01,24,0.7649993122431573,0.125,0.0017001069073749875
graphics-design/creative-logo-design,2023-01-01,24,0.7475716095071231,0.08333333333333333,0.17714770423529458
graphics-design/creative-logo-design,2023-04-01,24,0.7746874329075122,0.10416666666666667,0.024913078095166963
graphics-design/creative-logo-design,2023-07-01,8,,,
graphics-design/creative-logo-design,2024-01-01,16,0.5699843724014522,0.09375000000000001,0.2502334517902187
graphics-design/creative-logo-design,2024-04-01,24,0.6699120456165063,0.125,0.0017001069073749875
graphics-design/creative-logo-design,2024-07-01,24,0.5460511317212922,0.10416666666666667,0.024913078095166963
graphics-design/creative-logo-design,2024-10-01,24,0.68886408771024,0.0625,0.6501163654749464
graphics-design/social-media-design,2021-01-01,24,0.6884756886768001,0.10416666666666667,0.024913078095166963
graphics-design/social-media-design,2021-04-01,24,0.6251949304548741,0.08333333333333333,0.17714770423529458
graphics-design/social-media-design,2021-07-01,24,0.6536313759165829,0.10416666666666667,0.024913078095166963
graphics-design/social-media-design,2021-10-01,24,0.6964534625645076,0.08333333333333333,0.17714770423529458
graphics-design/social-media-design,2022-01-01,28,0.6165239913669992,0.07142857142857142,0.2918008608263972
graphics-design/social-media-design,2022-04-01,36,0.6428805127479755,0.05555555555555555,0.5334555773580919
graphics-design/social-media-design,2022-07-01,12,0.43533558448495857,0.08854166666666667,0.5624168747307456
graphics-design/social-media-design,2023-01-01,24,0.49048481094315,0.0625,0.6501163654749464
graphics-design/social-media-design,2023-04-01,24,0.5996741444893166,0.08333333333333333,0.17714770423529458
graphics-design/social-media-design,2023-07-01,24,0.5985648907641773,0.08333333333333333,0.17714770423529458
graphics-design/social-media-design,2023-10-01,16,0.5400753611810317,0.09375,0.25023345179021894
graphics-design/social-media-design,2024-01-01,24,0.6828184775250513,0.125,0.0017001069073749875
graphics-design/social-media-design,2024-04-01,24,0.6223969120940797,0.10416666666666667,0.024913078095166963
graphics-design/social-media-design,2024-07-01,24,0.642622477759269,0.125,0.0017001069073749875
graphics-design/social-media-design,2024-10-01,16,0.6252950342336322,0.09375,0.25023345179021894
