category,outcome,real_shock_date,placebo_shock_date,beta2_level,beta2_se,beta2_p,beta3_slope,beta3_se,beta3_p
graphics-design/creative-logo-design,price_median,2022-07-12,2022-01-12,230.41666666666467,1.700726356758666,3.964533716453691e-36,-56.60852713178514,2.555847980882431,1.7464455676057065e-17
graphics-design/creative-logo-design,price_median,2022-08-22,2022-02-22,-110.74612403100582,8.198183568985952,1.0372911966617058e-12,54.13759689922669,5.7604466709354964,1.628816905670473e-09
graphics-design/creative-logo-design,price_median,2023-03-15,2022-09-15,-24.32438294016721,15.517017704663454,0.130067542635335,3.729219815315793,3.516099550919109,0.29942335533654785
graphics-design/creative-logo-design,BC,2022-07-12,2022-01-12,-0.7712270890232358,0.026054455913481614,2.1048532823757348e-20,0.007709465026322221,0.004722574314048917,0.1156333971833668
graphics-design/creative-logo-design,BC,2022-08-22,2022-02-22,0.10631730752685473,0.013749040863770252,5.728478163962096e-08,-0.09860784250054924,0.009692766424192506,3.5102604948376445e-10
graphics-design/creative-logo-design,BC,2023-03-15,2022-09-15,0.008960130150383827,0.030118343337975587,0.7686466835873969,-0.0009818342687430738,0.0047026011211977435,0.8363776955361865
graphics-design/social-media-design,price_median,2022-07-12,2022-01-12,48.939393939394094,7.412664153653667,1.4383593493909028e-07,-13.719280719280679,1.1636703003973807,1.4660244108757344e-13
graphics-design/social-media-design,price_median,2022-08-22,2022-02-22,-22.35964035964034,3.049583613131675,1.7033406801420946e-08,8.640359640359563,2.1129749153958657,0.0002505830039120006
graphics-design/social-media-design,price_median,2023-03-15,2022-09-15,-10.650570323099192,6.1515079913811785,0.09245114132960286,2.670261544646044,1.4469452189225993,0.07369633693444012
graphics-design/social-media-design,BC,2022-07-12,2022-01-12,-0.16624374963522093,0.03125537108104809,6.620024267156232e-06,0.053516952101469804,0.0082696622827334,2.1169879961074576e-07
graphics-design/social-media-design,BC,2022-08-22,2022-02-22,0.12317461059780588,0.024338986734671615,1.4326886087044833e-05,-0.06965765849633695,0.017124219394055253,0.000266522511563776
graphics-design/social-media-design,BC,2023-03-15,2022-09-15,-0.10857614280364533,0.05065693319320258,0.03932418148047445,0.019724037533728964,0.01111149464313383,0.08483460416869458
content-writing/creative-writing,price_median,2022-11-30,2022-05-30,-19.277049427365828,10.689773749701791,0.0813911491717327,-27.055266726943934,1.685675949754523,2.863988375198493e-16
content-writing/creative-writing,price_median,2023-02-01,2022-08-01,5.8333333333333455,2.5466590940890073,0.029188346725706284,16.03240740740744,0.701983538971405,1.5977031314158985e-20
content-writing/creative-writing,price_median,2023-03-14,2022-09-14,10.960648148148238,1.2463528531369854,8.343749596274082e-10,5.0717592592592045,1.0948403781732252,6.564569882791451e-05
content-writing/creative-writing,price_median,2024-05-13,2023-11-13,2.525883838383868,2.872339426483831,0.38618399631651823,0.28219696969698704,0.47655736472421034,0.5581821470072352
content-writing/creative-writing,BC,2022-11-30,2022-05-30,-0.01861903772783531,0.05916246750145197,0.7551600847508244,0.1181061456080642,0.01136620518281475,1.8587623731699754e-11
content-writing/creative-writing,BC,2023-02-01,2022-08-01,-0.04652270213429471,0.023981366611125973,0.06183748356357298,-0.07543435499051154,0.007719690016555441,7.813040289237192e-11
content-writing/creative-writing,BC,2023-03-14,2022-09-14,-0.04064453813405186,0.018157051246912227,0.032760367260833693,-0.03478981685645777,0.014018912175152878,0.018904451998519537
content-writing/creative-writing,BC,2024-05-13,2023-11-13,0.057172837315953906,0.03881845358912465,0.1512130492448539,-0.0002033103802069683,0.004462825331852624,0.9639657016912374
