perturbed_category,delta,new_score,coef,se,p,n_obs,sig_10,sig_05
graphics-design/creative-logo-design,-0.2,0.7,-28.73815697170349,10.762143154836442,0.05578853226316964,195,True,False
graphics-design/creative-logo-design,-0.1,0.8,-31.12686570806148,12.354270451294523,0.06539001275740787,195,True,False
graphics-design/creative-logo-design,-0.05,0.85,-31.984301954694907,12.807232310023767,0.06695503530566914,195,True,False
graphics-design/creative-logo-design,0.0,0.9,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
graphics-design/creative-logo-design,0.05,0.9500000000000001,-33.06114375482946,12.988330784497757,0.06361176357395788,195,True,False
graphics-design/creative-logo-design,0.1,0.99,-33.2743357884861,12.822915743067652,0.060370667561110265,195,True,False
graphics-design/creative-logo-design,0.2,0.99,-33.2743357884861,12.822915743067652,0.060370667561110265,195,True,False
graphics-design/social-media-design,-0.2,0.6499999999999999,-39.572069159232015,13.91956420505697,0.04672975451895683,195,True,True
graphics-design/social-media-design,-0.1,0.75,-36.48937561135638,13.458966710852966,0.05347325013991985,195,True,False
graphics-design/social-media-design,-0.05,0.7999999999999999,-34.61387021477101,13.21544280843333,0.05884883203920631,195,True,False
graphics-design/social-media-design,0.0,0.85,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
graphics-design/social-media-design,0.05,0.9,-30.592281928936785,12.849147157728918,0.07591653976569832,195,True,False
graphics-design/social-media-design,0.1,0.95,-28.5729398757212,12.703984132147143,0.08772945970264154,195,True,False
graphics-design/social-media-design,0.2,0.99,-26.99606367989241,12.584691443896368,0.09851628103518213,195,True,False
content-writing/creative-writing,-0.2,0.6000000000000001,-33.24445482538542,16.290201449232963,0.11084732563445973,195,False,False
content-writing/creative-writing,-0.1,0.7000000000000001,-33.54587055942186,14.94292468626292,0.08813854946533102,195,True,False
content-writing/creative-writing,-0.05,0.75,-33.218216562590825,14.02684478562288,0.07697266846062913,195,True,False
content-writing/creative-writing,0.0,0.8,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
content-writing/creative-writing,0.05,0.8500000000000001,-31.815154254557626,11.963778775758787,0.056432132205947574,195,True,False
content-writing/creative-writing,0.1,0.9,-30.840135838887434,10.938880654089589,0.047861490501149184,195,True,True
content-writing/creative-writing,0.2,0.99,-28.818550373480228,9.295629091591692,0.03621317708189521,195,True,True
transcription-control-medium,-0.2,0.2,-31.162487255682233,10.551605024549032,0.04183020001167469,195,True,True
transcription-control-medium,-0.1,0.30000000000000004,-32.35296095711294,11.815083635453501,0.05199771609988838,195,True,False
transcription-control-medium,-0.05,0.35000000000000003,-32.627619555240614,12.45718367717492,0.05884991932356438,195,True,False
transcription-control-medium,0.0,0.4,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
transcription-control-medium,0.05,0.45,-32.302657940149494,13.3982007636791,0.07347758323031599,195,True,False
transcription-control-medium,0.1,0.5,-31.630821095917018,13.540870918333043,0.07973076722863405,195,True,False
transcription-control-medium,0.2,0.6000000000000001,-29.206124271148227,13.0272111783114,0.0884322639439453,195,True,False
data/data-entry,-0.2,0.01,-28.735363731316962,11.835739133283283,0.07214854196195754,195,True,False
data/data-entry,-0.1,0.01,-28.735363731316962,11.835739133283283,0.07214854196195754,195,True,False
data/data-entry,-0.05,0.05,-30.38080889304058,12.357582969175935,0.06980580078659111,195,True,False
data/data-entry,0.0,0.1,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
data/data-entry,0.05,0.15000000000000002,-35.087184633678866,13.656060023347978,0.06202145872278584,195,True,False
data/data-entry,0.1,0.2,-37.771031792768426,14.27036533705985,0.057171597234816955,195,True,False
data/data-entry,0.2,0.30000000000000004,-43.73252099656835,15.392498249543937,0.046812706338281655,195,True,True
all,-0.2,,-38.3337047179987,14.38863487842496,0.056146086845912685,195,True,False
all,-0.1,,-33.099555318275684,13.1430463332066,0.06546772381563455,195,True,False
all,-0.05,,-32.624801063209205,13.012880574207562,0.06626100575240311,195,True,False
all,0.0,,-32.62480106320918,13.012880574207658,0.06626100575240453,195,True,False
all,0.05,,-32.62480106320931,13.012880574207689,0.0662610057524042,195,True,False
all,0.1,,-32.513508141601676,12.990951629085073,0.06656844631624738,195,True,False
all,0.2,,-33.710887687893894,12.823688093533361,0.05825950767737523,195,True,False
